County Name,County Number,Abbreviation,Federal Number,District,Wage Area
  ALLEN,1,AL,1,SE,1
  ANDERSON,2,AN,3,SE,1
  ATCHISON,3,AT,5,NE,1
  BARBER,4,BA,7,SC,1
  BARTON,5,BT,9,SC,1
  BOURBON,6,BB,11,SE,1
  BROWN,7,BR,13,NE,1
  BUTLER,8,BU,15,SC,1
  CHASE,9,CS,17,NC,1
  CHAUTAUQUA,10,CQ,19,SE,1
  CHEROKEE,11,CK,21,SE,1
  CHEYENNE,12,CN,23,NW,1
  CLARK,13,CA,25,SW,1
  CLAY,14,CY,27,NC,1
  CLOUD,15,CD,29,NC,1
  COFFEY,16,CF,31,SE,1
  COMANCHE,17,CM,33,SC,1
  COWLEY,18,CL,35,SC,1
  CRAWFORD,19,CR,37,SE,1
  DECATUR,20,DC,39,NW,1
  DICKINSON,21,DK,41,NC,1
  DONIPHAN,22,DP,43,NE,1
  DOUGLAS,23,DG,45,NE,4
  EDWARDS,24,ED,47,SC,1
  ELK,25,EK,49,SE,1
  ELLIS,26,EL,51,NW,1
  ELLSWORTH,27,EW,53,NC,1
  FINNEY,28,FI,55,SW,1
  FORD,29,FO,57,SW,1
  FRANKLIN,30,FR,59,SE,1
  GEARY,31,GE,61,NC,1
  GOVE,32,GO,63,NW,1
  GRAHAM,33,GH,65,NW,1
  GRANT,34,GT,67,SW,1
  GRAY,35,GY,69,SW,1
  GREELEY,36,GL,71,SW,1
  GREENWOOD,37,GW,73,SE,1
  HAMILTON,38,HM,75,SW,1
  HARPER,39,HP,77,SC,1
  HARVEY,40,HV,79,SC,1
  HASKELL,41,HS,81,SW,1
  HODGEMAN,42,HG,83,SW,1
  JACKSON,43,JA,85,NE,1
  JEFFERSON,44,JF,87,NE,1
  JEWELL,45,JW,89,NC,1
  JOHNSON,46,JO,91,NE,5
  KEARNY,47,KE,93,SW,1
  KINGMAN,48,KM,95,SC,1
  KIOWA,49,KW,97,SC,1
  LABETTE,50,LB,99,SE,1
  LANE,51,LE,101,SW,1
  LEAVENWORTH,52,LV,103,NE,4
  LINCOLN,53,LC,105,NC,1
  LINN,54,LN,107,SE,1
  LOGAN,55,LG,109,NW,1
  LYON,56,LY,111,NE,1
  MARION,57,MN,115,NC,1
  MARSHALL,58,MS,117,NE,1
  MCPHERSON,59,MP,113,NC,1
  MEADE,60,ME,119,SW,1
  MIAMI,61,MI,121,SE,5
  MITCHELL,62,MC,123,NC,1
  MONTGOMERY,63,MG,125,SE,1
  MORRIS,64,MR,127,NC,1
  MORTON,65,MT,129,SW,1
  NEMAHA,66,NM,131,NE,1
  NEOSHO,67,NO,133,SE,1
  NESS,68,NS,135,SW,1
  NORTON,69,NT,137,NW,1
  OSAGE,70,OS,139,NE,1
  OSBORNE,71,OB,141,NW,1
  OTTAWA,72,OT,143,NC,1
  PAWNEE,73,PN,145,SC,1
  PHILLIPS,74,PL,147,NW,1
  POTTAWATOMIE,75,PT,149,NE,1
  PRATT,76,PR,151,SC,1
  RAWLINS,77,RA,153,NW,1
  RENO,78,RN,155,SC,1
  REPUBLIC,79,RP,157,NC,1
  RICE,80,RC,159,SC,1
  RILEY,81,RL,161,NE,1
  ROOKS,82,RO,163,NW,1
  RUSH,83,RH,165,SC,1
  RUSSELL,84,RS,167,NW,1
  SALINE,85,SA,169,NC,1
  SCOTT,86,SC,171,SW,1
  SEDGWICK,87,SG,173,SC,1
  SEWARD,88,SW,175,SW,1
  SHAWNEE,89,SN,177,NE,4
  SHERIDAN,90,SD,179,NW,1
  SHERMAN,91,SH,181,NW,1
  SMITH,92,SM,183,NW,1
  STAFFORD,93,SF,185,SC,1
  STANTON,94,ST,187,SW,1
  STEVENS,95,SV,189,SW,1
  SUMNER,96,SU,191,SC,1
  THOMAS,97,TH,193,NW,1
  TREGO,98,TR,195,NW,1
  WABAUNSEE,99,WB,197,NE,1
  WALLACE,100,WA,199,NW,1
  WASHINGTON,101,WS,201,NC,1
  WICHITA,102,WH,203,SW,1
  WILSON,103,WL,205,SE,1
  WOODSON,104,WO,207,SE,1
  WYANDOTTE,105,WY,209,NE,5
